Smallest Mahler Measures by Degree

Smallest known (multiplicative) Mahler measure M greater than 1 for
primitive irreducible polynomials of each even degree d up to 200. Here v
is the number of roots outside the unit circle, and only the first d/2 + 1
coefficients are shown since these polynomials are reciprocal. M is known
to be optimal through degree 54.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026

==========

  d  M                v  Coefficients
  8  1.280638156268   1  1 0 0 1 -1
 10  1.176280818260   1  1 1 0 -1 -1 -1
 12  1.227785558695   2  1 1 1 0 -1 -1 -1
 14  1.200026523987   1  1 0 0 1 -1 0 0 -1
 16  1.224278907222   2  1 1 0 -1 -1 0 1 1 1
 18  1.188368147508   1  1 1 1 1 0 0 -1 -1 -1 -1
 20  1.212824180989   2  1 1 0 0 1 1 0 -1 -1 -1 -1
 22  1.205019854225   2  1 0 1 0 0 1 -1 1 0 0 1 -1
 24  1.218855150304   2  1 0 0 0 0 1 0 -1 0 0 0 0 -1
 26  1.223777454948   3  1 1 1 0 0 -1 -1 -1 -1 0 0 1 0 1
 28  1.207950028412   2  1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1
 30  1.225619851977   2  1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1
 32  1.236083368052   4  1 1 1 1 0 -1 -1 -2 -1 0 0 1 1 0 0 0 -1
 34  1.220287441693   3  1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 0 0 -1 1
 36  1.226493301473   2  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 38  1.223447381419   3  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1
 40  1.236249557349   3  1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1
 42  1.230295468643   4  1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 1 0 0 1 -1 1
 44  1.236674812187   4  1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 -1 0 0 0 0 0 0 -1
 46  1.230743009076   3  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1
 48  1.232202952743   4  1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1
 50  1.240379074717   3  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 52  1.234348374876   4  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1
 54  1.236566917569   5  1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 0 0 -1 1 -1 1 -1 0 0 -1 1 -1
