Smallest Mahler Measures by Height

Smallest known (multiplicative) Mahler measure M greater than 1 for
primitive irreducible polynomials with fixed height H, for a range of
values of H. Here d is the degree of the polynomial, v is the number of
roots outside the unit circle, and only the first d/2 + 1 coefficients are
shown since these polynomials are reciprocal.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026

==========

 H    d  M                v  Coefficients
 1   10  1.176280818260   1  1 1 0 -1 -1 -1
 2   20  1.226993758166   2  1 1 -1 -2 0 2 1 -1 -1 0 1
 3   32  1.236227922245   4  1 2 2 1 0 -1 -1 -1 -1 -1 -1 -1 -1 -1 0 2 3
 4   94  1.249426432422  11  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 2 3 3 2 1 -1 -2 -3 -4 -3 -3 -1 1 2 4 4 3 2 0 -2 -3 -4 -4 -2 -1 1 3 3 4 3 1 0 -2 -3 -3
 5   72  1.243210037398   6  1 1 1 1 1 1 0 -1 -2 -2 -2 -2 -1 0 2 3 3 3 2 1 -1 -3 -4 -4 -3 -2 0 2 4 5 4 3 1 -1 -3 -5 -5
 6  192  1.252362778584  18  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 2 3 3 3 2 0 -1 -3 -4 -4 -4 -2 0 2 4 5 5 4 2 -1 -3 -5 -6 -5 -4 -1 2 4 6 6 5 3 0 -3 -5 -6 -6 -4 -2 1 4 5 6 5 3 1 -2 -4 -5 -5 -4 -2 0 2 4 4 4 3 1 0 -2 -3 -3 -3 -2 -1 0 1 2 2 2 2 0 0 -1 -2 -1 -2 -1 0 0 1 1 1
 7  118  1.254112341653  13  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 2 3 3 2 0 -2 -3 -4 -4 -3 -1 2 4 5 5 4 2 -1 -4 -6 -6 -5 -3 0 3 6 7 6 4 1 -2 -5 -7 -7 -6 -3 0 3 6 7 7 5 2 -1 -4 -6 -7
 8  166  1.253310410960  13  1 1 1 1 0 -1 -2 -3 -3 -2 -1 1 3 4 5 4 2 0 -3 -5 -6 -6 -4 -1 2 5 7 7 6 3 -1 -4 -7 -8 -7 -5 -1 3 6 8 8 6 3 -1 -5 -7 -8 -7 -4 -1 3 6 7 7 5 2 -1 -4 -6 -6 -5 -3 0 2 4 5 4 3 1 -1 -2 -3 -3 -2 -1 0 1 1 1 1 0 0 0 -1
 9  132  1.250511624066  14  1 1 1 1 0 0 -1 -2 -2 -2 -1 0 1 2 3 3 2 1 -1 -3 -4 -5 -4 -2 0 3 5 6 6 4 1 -2 -5 -7 -7 -6 -3 1 4 7 8 7 5 1 -3 -6 -8 -8 -6 -3 1 5 8 9 8 5 1 -3 -7 -9 -9 -7 -3 1 5 8 9
11  178  1.252581403526  21  1 2 2 1 0 -1 -2 -3 -3 -2 -1 0 1 2 3 4 4 3 1 -1 -3 -5 -6 -5 -3 -1 1 3 5 6 6 5 3 0 -3 -6 -8 -8 -6 -3 0 3 6 7 6 5 4 2 -1 -4 -6 -7 -7 -6 -4 -1 3 6 7 7 7 6 3 -1 -4 -6 -8 -9 -8 -5 -1 3 6 8 9 9 7 3 -1 -4 -7 -10 -11 -9 -5 -1 3 7 10 11
13  118  1.257762678077  15  1 2 2 1 0 -1 -2 -3 -3 -2 -1 0 1 2 3 4 4 3 1 -1 -3 -5 -6 -6 -5 -3 0 3 6 8 9 8 5 1 -3 -7 -10 -11 -10 -7 -3 2 7 10 11 11 9 5 0 -5 -9 -12 -13 -11 -7 -2 4 9 12 13
17  142  1.255611215829  17  1 2 2 1 0 -1 -2 -3 -3 -2 -1 0 1 2 3 4 4 3 1 -2 -5 -7 -7 -5 -2 1 4 6 7 7 6 4 1 -3 -7 -10 -11 -9 -5 0 5 9 11 11 9 6 2 -3 -8 -12 -14 -13 -9 -3 4 10 14 15 13 8 2 -4 -9 -13 -15 -14 -10 -4 3 10 15 17
