Known Mahler Measures Less than 1.25

All known (multiplicative) Mahler measures M greater than 1 and less than
1.25 for primitive irreducible polynomials. Here d is the degree, v is the
number of roots outside the unit circle, and only the first d/2 + 1
coefficients are shown since these polynomials are reciprocal.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
May 31, 2026

==========

Rank   d  M                v  Coefficients
  1   10  1.176280818260   1  1 1 0 -1 -1 -1
  2   18  1.188368147508   1  1 1 1 1 0 0 -1 -1 -1 -1
  3   14  1.200026523987   1  1 0 0 1 -1 0 0 -1
  4   18  1.201396186235   2  1 1 1 0 0 -1 0 -1 0 -1
  5   14  1.202616743689   1  1 0 -1 0 0 0 0 1
  6   22  1.205019854225   2  1 0 1 0 0 1 -1 1 0 0 1 -1
  7   28  1.207950028412   2  1 1 1 1 0 0 0 -1 -1 -1 -1 0 0 0 1
  8   20  1.212824180989   2  1 1 0 0 1 1 0 -1 -1 -1 -1
  9   20  1.214995700776   2  1 1 1 1 1 0 -1 -1 -1 -1 -1
 10   10  1.216391661138   1  1 0 0 0 -1 1
 11   20  1.218396362520   2  1 1 0 -1 0 0 0 -1 0 0 1
 12   24  1.218855150304   2  1 0 0 0 0 1 0 -1 0 0 0 0 -1
 13   24  1.219057507826   2  1 1 0 -1 -1 -1 -1 -1 0 1 1 1 1
 14   18  1.219446875941   3  1 1 1 0 -1 -1 -1 0 0 1
 15   18  1.219720859040   1  1 1 0 0 0 0 0 0 -1 -1
 16   34  1.220287441693   3  1 0 1 0 0 1 -1 1 -1 0 0 -1 1 -1 0 0 -1 1
 17   38  1.223447381419   3  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1
 18   26  1.223777454948   3  1 1 1 0 0 -1 -1 -1 -1 0 0 1 0 1
 19   16  1.224278907222   2  1 1 0 -1 -1 0 1 1 1
 20   18  1.225503424104   2  1 1 0 0 1 0 -1 0 0 -1
 21   30  1.225619851977   2  1 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1
 22   30  1.225810532354   3  1 0 1 0 0 0 -1 1 -1 1 -1 0 0 -1 1 -1
 23   26  1.226092894512   2  1 0 0 1 0 0 0 0 0 0 1 0 0 1
 24   36  1.226493301473   2  1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1
 25   20  1.226993758166   2  1 1 -1 -2 0 2 1 -1 -1 0 1
 26   12  1.227785558695   2  1 1 1 0 -1 -1 -1
 27   30  1.228140772740   3  1 1 0 0 0 -1 -1 -1 -1 0 0 0 1 0 0 1
 28   36  1.229482810173   4  1 1 1 0 0 -1 -1 -1 0 1 1 1 0 -1 -2 -1 0 1 1
 29   22  1.229566456617   3  1 1 0 -1 -1 -1 -1 -1 0 1 1 1
 30   34  1.229999039697   3  1 0 0 0 0 0 -1 0 0 0 0 1 0 0 0 0 0 -1
 31   38  1.230263271363   3  1 0 0 0 -1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 -1
 32   42  1.230295468643   4  1 0 1 0 0 0 -1 1 -1 1 0 0 1 -1 1 -1 1 0 0 1 -1 1
 33   10  1.230391434407   1  1 0 0 1 0 1
 34   46  1.230743009076   3  1 0 0 1 0 1 0 0 1 0 0 0 0 0 0 -1 0 0 -1 0 -1 0 0 -1
 35   18  1.231342769993   3  1 0 0 0 -1 1 0 0 0 -1
 36   48  1.232202952743   4  1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 -1 -1
 37   20  1.232613548593   1  1 1 0 0 0 1 1 0 0 1 1
 38   28  1.232628775929   2  1 2 2 1 1 1 0 -1 -1 -1 -1 -1 -1 -1 -1
 39   38  1.233672001767   3  1 1 0 -1 -1 -1 -1 0 1 1 0 0 0 0 0 1 1 0 -1 -1
 40   52  1.234348374876   4  1 1 0 -1 -1 0 0 -1 -1 0 1 1 0 0 1 1 0 -1 -1 0 0 -1 -1 0 1 1 1
 41   24  1.234443834873   2  1 0 0 0 -1 0 -1 1 0 0 1 -1 1
 42   26  1.234500336789   3  1 0 -1 1 0 -1 1 0 -1 1 0 -1 0 1
 43   16  1.235256705642   2  1 1 0 0 0 -1 0 0 -1
