Largest Mahler Measures of Littlewood Polynomials by Degree

Recall a Littlewood polynomial is one where all coefficients are ±1. The
question of maximizing the Mahler measure of a Littlewood polynomial,
relative to its degree, is known as Mahler's problem. This is related to a
number of flatness questions regarding this family of polynomials.

This list shows up to 25 of the largest (multiplicative) Mahler measures
of Littlewood polynomials of fixed degree d, for each degree up to 30. This
extends the list published in [2]. Both the Mahler measure M and the
normalized value M/√(d+1) are displayed for each entry.

Only one representative polynomial for each displayed value is shown,
always one where the coefficients of x^d and x^(d-1) are both 1.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
June 23, 2026

References

[1] Peter Borwein,
Computational Excursions in Analysis and Number Theory,
CMS Books Math./Ouvrages Math. SMC 10,
Springer, New York, 2002. MR1912495
DOI 10.1007/978-0-387-21652-2

[2] Peter Borwein and Michael J. Mossinghoff,
Barker sequences and flat polynomials,
in Number Theory and Polynomials (Bristol, 2007),
London Math. Soc. Lecture Note Ser. 352,
Cambridge Univ. Press, Cambridge, 2008, 71-88. MR2428516
DOI 10.1017/cbo9780511721274.007

[3] Michael J. Mossinghoff,
Mahler's problem and Turyn polynomials,
29 pp. arXiv:2405.08281v2 [math.NT]

==========

d  M               M/√(d+1)  Coefficients
2  1.618033988750  0.934172  -++

3  1.839286755214  0.919643  +-++

4  2.153721375542  0.963173  +-+++
4  1.927561975483  0.862032  -++++
4  1.783263984443  0.797500  --+++
4  1.722083805739  0.770139  ++-++

5  2.227690198699  0.909451  +-++++
5  2.191550409850  0.894697  +++-++
5  2.081018996625  0.849572  +--+++
5  1.965948236645  0.802595  +-+-++
5  1.883203505914  0.768815  --+-++
5  1.618033988750  0.660560  +---++

6  2.496698205163  0.943663  -+--+++
6  2.342335909533  0.885320  -++-+++
6  2.324717957245  0.878661  ++++-++
6  2.302085928832  0.870107  --+-+++
6  2.260207398579  0.854278  +-+--++
6  2.253466700712  0.851730  -+++-++
6  2.197405549723  0.830541  +-+++++
6  2.147899035705  0.811830  -+-++++
6  2.098145671968  0.793025  --++-++
6  2.057390879376  0.777621  +--+-++
6  2.006261676330  0.758296  +++--++
6  1.996207999986  0.754496  +++-+++
6  1.983582843424  0.749724  -++++++
6  1.946856268272  0.735843  ++-+-++
6  1.941468528488  0.733806  +-++-++
6  1.855376213959  0.701266  ---++++
6  1.754877666247  0.663281  -++--++
6  1.556030191323  0.588124  ++---++

7  2.642085248051  0.934118  +-+--+++
7  2.504557628438  0.885495  --+++-++
7  2.430827216845  0.859427  +--+-+++
7  2.423181208988  0.856724  +++++-++
7  2.409759105838  0.851979  +-++-+++
7  2.376256908254  0.840134  --++-+++
7  2.364176553280  0.835863  --+-++++
7  2.350646448653  0.831079  ++-+--++
7  2.348185491659  0.830209  +--+++++
7  2.342377562072  0.828156  +---+-++
7  2.341380045213  0.827803  ++++-+++
7  2.279838411017  0.806045  +++-+-++
7  2.223366643124  0.786079  --+--+++
7  2.192876428384  0.775299  ---+-+++
7  2.191810073500  0.774922  +-----++
7  2.189548370443  0.774122  +-+---++
7  2.189213741919  0.774004  +---++++
7  2.171805193118  0.767849  +-++--++
7  2.121623835660  0.750107  +-++++++
7  2.057236058475  0.727343  +--++-++
7  1.991964196605  0.704266  +-+-+-++
7  1.974818708298  0.698204  --+-+-++
7  1.933510414245  0.683599  +++---++
7  1.917154747525  0.677817  ---+++++
7  1.894818117200  0.669919  +++--+++

8  2.725012338530  0.908337  +++-+--++
8  2.675099463324  0.891700  +-+--++++
8  2.669995122035  0.889998  +-++--+++
8  2.667093125161  0.889031  --+---+++
8  2.653789182581  0.884596  -+-+--+++
8  2.647718390174  0.882573  -++-+-+++
8  2.618033988750  0.872678  +--+---++
8  2.600410952038  0.866804  -+-++-+++
8  2.588836188919  0.862945  ---++-+++
8  2.576272739476  0.858758  +++--+-++
8  2.569918775544  0.856640  -++-+++++
8  2.557430432127  0.852477  +-++-++++
8  2.549935027479  0.849978  --++-+-++
8  2.540223456205  0.846741  +----+-++
8  2.537378012360  0.845793  --++++-++
8  2.536391403435  0.845464  -+++-++++
8  2.523561906221  0.841187  ++-+---++
8  2.508673244196  0.836224  -+++++-++
8  2.476111058714  0.825370  +-+----++
8  2.464083214084  0.821361  --++-++++
8  2.461640289161  0.820547  -++---+++
8  2.453546267207  0.817849  ++++-+-++
8  2.452771855433  0.817591  -++++--++
8  2.433470993773  0.811157  +++++-+++
8  2.431463916542  0.810488  -+--+-+++

9  2.920761693040  0.923626  ++++-+--++
9  2.903758693847  0.918249  +-++--++++
9  2.822255056283  0.892475  +-++++--++
9  2.821828682555  0.892341  +-+--+++++
9  2.815433331243  0.890318  --++-+-+++
9  2.813298667350  0.889643  --+++-+-++
9  2.813212682287  0.889616  +-+-----++
9  2.812206414349  0.889298  +--+---+++
9  2.770917031634  0.876241  +---+-++++
9  2.764940107668  0.874351  --+-+++-++
9  2.762321619383  0.873523  +++-+--+++
9  2.719479080653  0.859975  +--+-+-+++
9  2.704767244690  0.855323  --+---++++
9  2.703970674475  0.855071  ---+--++++
9  2.702230914134  0.854520  +++---+-++
9  2.688600904596  0.850210  +-+-++-+++
9  2.676848457970  0.846494  +-+---++++
9  2.675684051807  0.846126  +-++---+++
9  2.662263056366  0.841881  +---+++-++
9  2.649658879510  0.837896  --+--+-+++
9  2.642168072098  0.835527  +--+-+++++
9  2.641702669780  0.835380  --+-+--+++
9  2.639140092957  0.834569  +-+-+--+++
9  2.632673128277  0.832524  --++++-+++
9  2.630796632053  0.831931  --+++++-++

10  3.166249388941  0.954660  -+--+---+++
10  3.141657368782  0.947245  -+-++--++++
10  3.118532210367  0.940273  -+-+--+++++
10  3.092711989675  0.932488  -++--+-++++
10  3.086262125588  0.930543  --++-+-++++
10  3.021653333070  0.911063  +++++-+--++
10  3.013602209227  0.908635  +-+-+--++++
10  2.998490128369  0.904079  +-++--+++++
10  2.985085049548  0.900037  +-+++++--++
10  2.977481522354  0.897744  --++--+-+++
10  2.970204299821  0.895550  +--+-+++-++
10  2.961092747970  0.892803  -++-+-+++++
10  2.955746668698  0.891191  ++++-+---++
10  2.950603988592  0.889641  --+-+++-+++
10  2.948486194734  0.889002  +-+--+---++
10  2.924632826702  0.881810  --+++-++-++
10  2.921273176924  0.880797  +-++---++++
10  2.919613232795  0.880297  +-+--+++-++
10  2.915158273542  0.878953  --++---+-++
10  2.907943561321  0.876778  +-+------++
10  2.907564991346  0.876664  -++-+---+++
10  2.906771970222  0.876425  -+++--+-+++
10  2.903946060818  0.875573  -+++-+-++++
10  2.898726818962  0.873999  +++-+-++-++
10  2.887744571271  0.870688  +++-+-+--++

11  3.334625385908  0.962623  +-+-++--++++
11  3.324194819781  0.959612  +--++-+-++++
11  3.278961743335  0.946555  --++--+-++++
11  3.216927255159  0.928647  --++-+-+++++
11  3.140360125183  0.906544  +--+-+++-+++
