Largest Mahler Measures of Skew-Symmetric Littlewood Polynomials by Degree

Recall a Littlewood polynomial is one whose coefficients are all ±1, and a
skew-symmetric Littlewood polynomial f(x) is a Littlewood polynomial with
even degree d and the property that f(x) = ±x^d * f(-1/x). That is, a
skew-symmetric Littlewood polynomial is formed by interleaving a symmetric
sequence of odd length with an anti-symmetric one of even length, with the
length of the latter within 1 of that of the former.

The question of maximizing the Mahler measure of a Littlewood polynomial,
relative to its degree, is known as Mahler's problem. It is related to a
number of flatness questions regarding this family of polynomials.
Skew-symmetric Littlewood polynomials often arise here, due to favorable
features with respect to these problems.

This list shows up to 25 of the largest (multiplicative) Mahler measures
of skew-symmetric Littlewood polynomials of fixed even degree d, for each
degree up to 56. This complements the list published in [2]. Both the
Mahler measure M and the normalized value M/√(d+1) are displayed for each
entry. Only one representative polynomial for each displayed value is
shown.

Michael Mossinghoff
m.mossinghoff@ccr-princeton.org
July 1, 2026

References

[1] Peter Borwein,
Computational Excursions in Analysis and Number Theory,
CMS Books Math./Ouvrages Math. SMC 10,
Springer, New York, 2002. MR1912495
DOI 10.1007/978-0-387-21652-2

[2] Peter Borwein and Michael J. Mossinghoff,
Barker sequences and flat polynomials,
in Number Theory and Polynomials (Bristol, 2007),
London Math. Soc. Lecture Note Ser. 352,
Cambridge Univ. Press, Cambridge, 2008, 71-88. MR2428516
DOI 10.1017/cbo9780511721274.007

[3] Michael J. Mossinghoff,
Mahler's problem and Turyn polynomials,
29 pp. arXiv:2405.08281v2 [math.NT]

==========

d  M               M/√(d+1)  Coefficients
2  1.618033988750  0.934172  ++-

4  2.153721375542  0.963173  +++-+
4  1.722083805739  0.770139  ++--+

6  2.496698205163  0.943663  +++--+-
6  2.253466700712  0.851730  ++-+++-
6  2.147899035705  0.811830  ++++-+-
6  1.754877666247  0.663281  ++--++-

8  2.675099463324  0.891700  ++++--+-+
8  2.669995122035  0.889998  +++--++-+
8  2.618033988750  0.872678  ++---+--+
8  2.296497033740  0.765499  +++-+++-+
8  2.212584854922  0.737528  +++++-+-+
8  1.769045580769  0.589682  ++--++--+

10  3.166249388941  0.954660  +++---+--+-
10  3.141657368782  0.947245  ++++--++-+-
10  3.118532210367  0.940273  +++++--+-+-
10  2.757804410734  0.831509  +++--++--+-
10  2.715829845381  0.818854  ++++-+++-+-
10  2.701406812159  0.814505  ++----+-++-
10  2.539131092696  0.765577  ++--+---++-
10  2.437334243686  0.734884  +++-+----+-
10  2.411032414175  0.726954  +++-++---+-
10  2.328586652864  0.702095  ++-+++-+++-
10  2.208110931554  0.665770  ++++++-+-+-
10  2.201133130225  0.663667  ++---++-++-
10  1.776384718313  0.535600  ++--++--++-

12  3.556393149273  0.986366  +++++--++-+-+
12  3.355019324476  0.930515  ++++--++--+-+
12  3.209666907130  0.890201  ++++---+--+-+
12  3.208546555470  0.889891  ++++-++---+-+
12  3.128681117704  0.867740  ++---+---+--+
12  3.090578326945  0.857172  ++-----+-+--+
12  3.009345506681  0.834642  +++++-+++-+-+
12  2.963522215257  0.821933  +++-+--++++-+
12  2.961349960051  0.821331  +++---++-++-+
12  2.904459955205  0.805552  ++++++--+-+-+
12  2.902996584901  0.805146  ++--+-++++--+
12  2.821285188691  0.782484  +++-++--+++-+
12  2.805734986895  0.778171  +++--++--++-+
12  2.712333191743  0.752266  ++--+++-++--+
12  2.630703525143  0.729626  ++---++--+--+
12  2.611983346554  0.724434  ++----++-+--+
12  2.603916609707  0.722197  +++-+-+++++-+
12  2.597103198056  0.720307  +++--+---++-+
12  2.564245502588  0.711194  +++----+-++-+
12  2.436107291542  0.675655  ++++-+----+-+
12  2.332729446059  0.646983  +++-+++-+++-+
12  2.221201728426  0.616051  +++++++-+-+-+
12  2.217322442030  0.614975  ++--+--+++--+
12  1.780659917003  0.493866  ++--++--++--+

14  3.740894818472  0.965895  +++++--++--+-+-
14  3.533489892406  0.912343  ++++++--++-+-+-
14  3.523806533090  0.909843  ++-++++--+-+++-
14  3.484794387924  0.899770  +++-++++-+---+-
14  3.477796801034  0.897963  ++++-++--+++-+-
14  3.463063577289  0.894159  ++++---++-++-+-
14  3.457290537930  0.892669  ++++--++--++-+-
14  3.443364062532  0.889073  +++++---+--+-+-
14  3.395219049448  0.876642  +++--+++-++--+-
14  3.382528374090  0.873365  ++----+---+-++-
14  3.377542606536  0.872078  +++-++-+++---+-
14  3.371515891966  0.870522  +++---++--+--+-
14  3.365022111853  0.868845  ++---+-++++-++-
14  3.334680462214  0.861011  +++++++--+-+-+-
14  3.315851520120  0.856149  ++--+-+-----++-
14  3.308920749573  0.854360  ++-----++-+-++-
14  3.258413513357  0.841319  +++-+--++----+-
14  3.227023436338  0.833214  ++------+-+-++-
14  3.186820960405  0.822834  +++-----+-+--+-
14  3.168502627388  0.818104  ++--++++-+--++-
14  3.152479455764  0.813967  ++++--+---++-+-
14  3.117033904023  0.804815  +++++-++---+-+-
14  3.054554808320  0.788683  ++++++-+++-+-+-
14  2.977394312485  0.768760  ++--+---+---++-
14  2.946184736822  0.760702  +++--+-++++--+-

16  3.870964554212  0.938847  ++-----++--+-+--+
16  3.807528235933  0.923461  +++++++--++-+-+-+
16  3.805863207649  0.923057  +++++--++--++-+-+
16  3.782431856755  0.917374  ++++---+---+--+-+
16  3.763543972695  0.912793  ++-----+---+-+--+
16  3.762750071379  0.912601  ++++++--++--+-+-+
16  3.755899868141  0.910940  +++-++++--+-+++-+
16  3.751024798914  0.909757  ++++-++++-+---+-+
16  3.734965334835  0.905862  +++-++-++---+++-+
16  3.705091439398  0.898617  ++++---++--+--+-+
16  3.686420015432  0.894088  +++++---++-++-+-+
16  3.646349595676  0.884370  ++--+-+--+++++--+
16  3.640595880037  0.882974  +++++-++--+++-+-+
16  3.640516788138  0.882955  +++---+++-++-++-+
16  3.609796970905  0.875504  ++++--+--+++--+-+
16  3.583629986048  0.869158  ++--+-+-++++++--+
16  3.533467983006  0.856992  +++-+---++-++++-+
16  3.526574685850  0.855320  ++++-+++--+---+-+
16  3.523431629398  0.854558  ++--+-+++-++++--+
16  3.521510239570  0.854092  ++++-++-+++---+-+
16  3.520320252430  0.853803  +++-++-+----+++-+
16  3.515481367558  0.852629  ++++-++--++---+-+
16  3.514243460170  0.852329  +++---+--+++-++-+
16  3.509487509773  0.851176  +++--+++--+--++-+
16  3.509401404601  0.851155  ++++--++--++--+-+

18  4.069818500581  0.933680  +++-----+---+-+--+-
18  4.046713329551  0.928380  ++-++++-++---+-+++-
18  4.028977131186  0.924311  +++++---++--+--+-+-
18  3.996655199747  0.916896  +++++--+--+++--+-+-
18  3.995460513992  0.916622  +++-----++--+-+--+-
18  3.993181790386  0.916099  +++---+---+---+--+-
18  3.978706353745  0.912778  ++++++---++-++-+-+-
18  3.972622105234  0.911382  ++---+++-+++-++-++-
